english;french
Maintenance Effectiveness Review;Examen d'efficacité de la maintenanc
Maintenance Manual of Technical Equi;Notice de Maintenance pour Matériel
Maintenance and Logistics Documents;Documentation de Maintenance et Logi
Maintenance box;Coffret de maintenance
Maintenance degree;Degré de maintenance
Maintenance degree (SAW II);Degré de maintenance (SAW II)
Maintenance facilities;Installations de maintenance
Maintenance index page;Fiche échéancier de maintenance
Maintenance requirement card;Fiche de travail
Maintenance schedule;Echéancier (planification interventi
Maintenance schedule;Echéancier d'entretien
Maintenance schedule;Répertoire des opérations d'entretie
Maintenance schedule worksheet;Fiches échéancier d'entretien
Maintenance scheduled task list;Entretien catalogue des opérations
Maintenance staff;Réparateurs
Maintenance statement;Etat de maintenance
Maintenance-free sealed lead-acid ba;Batterie sans entretien au plomb
Maintenance Condition-Based;Maintenance en fonction de l'état du
Maintenance Level A;Maintenance niveau A/type A
Maintenance Level B;Maintenance niveau B/type B
Maintenance Reliability Centred;Maintenance orienté vers la fiabilit
Maintenance adaptive;Maintenance adaptive
Maintenance building;Entretien Immeubles
Maintenance computer-aided;Maintenance assistée par ordinateur
Maintenance corrective;Maintenance corrective
Maintenance depot-level;Maintenance à l'échelon du dépôt
Maintenance intermediate;Entretien intermédiaire
Maintenance intermediate;Maintenance intermédiaire
Maintenance major;Entretien majeur
Maintenance preventive;Entretien préventif
Maintenance preventive;Maintenance préventive
Maintenance preventive;Préventive maintenance -
Maintenance reliability control;Maintenance du contrôle de la fiabil
Maintenance routine;Entretien de routine
Maintenance routine;Entretien périodique
Main-frame;Maître-couple
Main Halon;Collecteur de halon
Main aqueous film-forming foam;Collecteur de mousse physique
Main freshwater;Collecteur d'eau douce
Main looped;Collecteur bouclé
Main oily water discharge;Collecteur d'évacuation d'eau mazout
Main rising;Tube de colonne montante
Main starting air;Collecteur de lancement
Main water;Conduite d'eau
Major concession;Concession importante
Major concession;Dérogation importante
Major overhaul;Grande révision
Major refit;Grand carénage (révision générale)
Major slot;Boutonnière principale
Make  emergency stop push;Bouton  poussoir coup de poing à fer
Make a pancake landing (to);Asseoir (s') en atterrissant
Make a slick (to);Filer de l'huile
Make contact (to);Fermer le contact
Make fast (to);Amarrer / fixer
Make fast (to);Capeler
Make flush (to);Affleurer
Make good (to);Réparer reprendre
Make head-way (to);Avancer
Make out (to);Distinguer
Make photoelectric cell and power su;Cellule photoélectrique à fermeture
Make regulations for (to);Réglementer
Make up (to);Ferler (un pavillon)
Make / Brand;Marque
Makeshift;Expédient
Make-ready time;Délai de préparation
Make-up (to) top-up;Appoint (faire l'Appoint)
Making use of design office data;Exploitation de données de bureaux d
Making way;Avec erre
Making way;Route (faisant route)
Making (contact-);Fermeture du contact
Male threaded connection;Embout fileté mâle
Male (female) union assembly;Raccord équipé union mâle (femelle)
Male-female facing;Emboîtement simple (M & F)
Male/female double yoke;Chape double mâle/femelle
Malfunction;Défaut de fonctionnement
Malfunctioning;Mauvais fonctionnement
Mallet;Maillet
Mallet round-edge;Maillet à bords arrondis
Man overboard;Homme à la mer
Man (a boat) (to);Equiper (une embarcation)
Man (to);Armer
Manage (to);Diriger
Manageable;Maniable
Management;Direction
Management;Gestion
Management of changes;Gestion de modifications
Management of individual project;Suivi d'affaire
Management science;Techniques de gestion
Management staff;Cadre
Management through projects;Management par projet
Management airspace;Gestion de l'espace aérien
Management audit;Gestion des audits
Management cash;Gestion de trésorerie
Management centralized;Gestion centralisée
Management change;Gestion des évolutions
Management configuration;Gestion de configuration
Management configuration;Gestion de la configuration
Management cost;Gestion des coûts
Management costschedulerisk;Gestion des risquesdelaiscoûts
Management design;Gestion des études
Management financial;Gestion financière
Management flux/flow;Gestion flux
Management nuclear-waste;Gestion de déchets nucléaires
Management project;Gestion de projet
Management risk;Gestion des risques
Management slack;Gestion de marges
Management standards;Gestion des normes
Management stock;Gestion des stocks
Manager Personnel;Chef du personnel
Manager Programme;Maître d'oeuvre industriel
Manager Project;Chef de projet
Manager equipment project;Chef de projet équipement
Mandrel;Faux arbre
Mandrel;Mandrin
Mandrel inner;Mandrin central
Mandrel splined;Mandrin cannelé
Mandril (US) adaptor bush;Mamelon de raccordement
Maneuver (to) to turn;Evoluer
Manhole;Trou d'homme
Manhole dog;Etrier de trou d'homme
Manhole on coaming;Bouchon de trou d'homme sur surbaux
Manhole ring;Renfort de trou d'homme
Manifold;Collecteur (moteur)
Manifold;Rampe
Manifold;Tubulure
Manifold branches;Dérivations de collecteur (d'eau ..
Manifold vented;Collecteur au retour
Manifold CO² venting;Collecteur de mise à l'air libre du
Manifold air;Collecteur de balayage
Manifold black water tank draining;Collecteur de vidange de caisse à ea
Manifold compressed air;Collecteur d'air comprimé
Manifold draining;Collecteur d'épuisement
Manifold draining;Collecteur de purge
Manifold exhaust;Collecteur d'échappement
Manifold flooding;Collecteur émission
Manifold fuel supply;Collecteur d'alimentation
Manifold hose valve;Collecteur de raccordement des manch
Manifold inlet;Collecteur d'admission
Manifold intake;Collecteur d'admission
Manifold intake (pipe);Tubulure d'admission
Manifold make-up;Collecteur d'appoint
Manifold recycling;Collecteur de recyclage
Manifold return;Collecteur de retour
Manifold sea water cross connection;Traverse à eau de mer
Manifold suction;Collecteur d'aspiration
Manifold three-valve;Collecteur à trois soupapes
Manifold vacuum pump;Collecteur de pompes à vide
Manifold vacuum pump tank draining;Collecteur de vidange de réservoir d
Manifold vented;Collecteur à reniflard
Manifold venting;Collecteur de mise à l'air libre
Manikin;Mannequin (pour études ergo.)
Manilla hemp;Chanvre de manille
Manipulator;Manipulateur
Manned;Habité
Manned lookout sight;Poste de veille optique
Manning;Armement en personnel
Manoeuvering interval;Intervalle de manoeuvre
Manoeuvring waterjet;Hydrojet de manoeuvre
Manometric;Manométrique
Manpower / labour force / personnel;Effectifs (selon contexte)
Manrope;Main courante
Manrope (knotted gangway rope);Corde à noeuds
Manual;Manuel (notice)
Manual damper;Registre manuel
Manual override;Commande manuelle prioritaire
Manual override;Reprise manuelle
Manual override facility;Dispositif de priorité manuel
Manual release/ launching;Largage manuel
Manual rotation of the boom;Rotation manuelle de la flèche
Manual stowage;Classeur à notices
Manual striking;Percussion manuelle
Manually-operated;A commande manuelle
Manuals and handbooks;Notices
Manuals or handbooks system;Notice d'installation  (se rapportan
Manual Installation & Service;Notice d'Installation et d'Entretien
Manual Integrated Electronic Techni;Manuel technique électronique intégr
Manual Naval Ships' Technical;Manuel technique des bâtiments de la
Manual control;Spécification de conduite
Manual equipment;Notice d'appareil
Manual fuel (for outboard engine);Nourrice (pour moteur hors-bord)
Manual installation;Manuel d'installation
Manual maintenance;Dossier d'entretien
Manual maintenance;Manuel de maintenance
Manual operating;Notice de conduite
Manual operator's technical;Documentation technique utilisateur
Manual operator's / user;Manuel d'utilisation
Manual overhaul;Manuel de révision
Manual quality;Manuel de la qualité
Manual quality assurance;Manuel assurance qualité
Manual quality control;Manuel (de contrôle) qualité
Manual quality control;Qualité manuel (de contrôle)
Manual repair;Manuel de réparation
Manual repair shop;Documentation technique atelier
Manual repair shop;Dossier d'entretien réparation
Manual servicing;Manuel d'entretien
Manual technical;Notice technique
Manual technical;Technique notice (contenu indéfini)
Manual/hand;Manuel
Manufacturer;Constructeur
Manufacturer;Fabricant
Manufacturer's NATO code;Fabricant code OTAN .
Manufacturer's name;Nom de fabricant
Manufacturer's part number;Fabricant référence .
Manufacturer's part number (mpn);Référence fabricant
Manufacturing;Confection
Manufacturing;Fabrication
Manufacturing file (RG Aéro term);Dossier de fabrication
Manufacturing inspection programme;Gamme de contrôle de fabrication
Manufacturing procedures;Règles de fabrication
Manufacturing size;Dimension de fabrication
Man-day;Homme-jour
Man-hour;Homme-heure
Man-hours (man-power);Heures de main d'oeuvre
Man-hours direct productive;Heures productives directes
Man-hours indirect productive;Heures productives indirectes
Man-hours lost;Heures perdues
Man-hours non productive;Heures non productives
Man-machine interface;Interface homme-machine
Man-machine interface;Opérateur dialogue
Man-year;Homme-an
Map (none-maritime);Carte
Map (to);Dessiner une carte
Maple;Erable
Map administrative;Carte administrative
Mar;Abîmer (une surface)
Mar resistant;Résistant au marquage
Marbled tile;Dalle marbrée
Margin board;Marge client (M3)
Margin build;Marge de conception détaillée et de
Margin design;Marge de conception (M1)
Margin electromagnetic compatibilit;Marge de compatibilité (électromagné
Margin emission;Marge d'émission
Margin equipment design;Marge de conception de l'appareil
Margin growth;Marge d'évolution (M5)
Margin immunity;Marge d'immunité
Margin profit;Marge
Marine Engineering Mechanic (RN);Mécanicien
Marine Propulsion Unit;Appareil Propulsif Marine
Marine engineering;Technique des machines marines
Marine environment;Atmosphère marine
Marine environment;Milieu marin
Marine grade lining panels;Panneaux Vaigres Marine (PVM)
Marine halogen-free;Marine zéro halogène
Marine plywood;Contre-plaqué marine
Marine railway;Slip de carénage
Marine / Naval / nautical;Marin (adj.)
Marinized;Marinisé
Maritime law;Droit maritime / de la mer
Maritime patrol;Patrouille maritime
Mark;Marque / modèle
Mark;Repère (gravé sur une pièce)
Mark of origin;Marque d'origine
Mark up;Peines et soins
Markboat;Pointeur
Marked and identified connections;Liaisons repérées et identifiées
Marker;Impulsion
Marker;Marqueur
Marker anti-collision;Marqueur anti-collision
Marker fixed;Marqueur fixe
Marker man overboard;Phoscar
Marker positioning;Témoin de positionnement
Marker straightness;Témoin de rectitude
Marker transfer station;Marqueur de poste de transfert
Market research;Etude de marché
Marketing;Commercialisation
Marking;Marquage
Marking;Repérage (gravé sur une pièce)
Marking label;Etiquette de marquage
Marking of conductors and terminals;Repérage de conducteurs et de bornes
Marking of the ballast;Marquage du ballast
Marking out;Marquage
Marking transfer;Report de marquage
Marking up of materials;Traçage des G2
Markings;Marquage
Mark Plimsoll;Marque de franc-bord
Mark draft;Marque de tirant d'eau
Mark graduation;Trait de graduation
Mark heat;Marque de surchauffe
Mark mould;Marque de moule
Mark plate;Marque de plateau
Mark shaft;Trait porté par l'arbre
Mark trade;Marque déposée
Mark/Space;Travail/Repos
Maroon;Marron
Marriage bands;Guêtres
Marrying wedge;Coins appairés
Marrying wedge;Languettes de serrage
Mask;Masque
Mask (to);Masquer
Masking;Découplage acoustique
Masking tape;Ruban à masques
Masking tape;Ruban adhésif de protection
Mask Navy service protective (US);Appareil de protection à port perman
Mask breathing;Masque respiratoire
Mask interrupt;Masque d'IT
Mask particle;Masque filtrant
Mask plain;Masque simple
Mask viewing;Masque de vision
Mass;Masse
Mass centring;Centrage de masse
Mass density;Masse volumique
Mass eccentricity;Excentricité de masse
Mass elements;Masses élémentaires
Mass moment of inertia;Moment d'inertie de masse
Mass per unit area;Masse surfacique
Mass per unit length;Masse linéique
Mass production;Fabrication en série
Mass radius of gyration;Rayon de giration de masse
Mass added;Masse ajoutée
Mass apparent;Masse apparente
Mass apparent/effective;Masse apparente/effective
Mass bias;Masse d'un balourd de compensation
Mass calibration;Masse d'étalonnage
Mass correction;Masse de correction
Mass critical;Masse critique
Mass disc-like;Masse en forme de disque
Mass displacement;Masse déplacement
Mass displacement;Masse déplacement
Mass effective;Masse effective
Mass electron rest;Masse au repos de l'électron
Mass lumped;Masse pure
Mass modal;Masse modale
Mass molecular;Masse moléculaire
Mass parasitic;Masse parasite
Mass pure;Masse pure
Mass reciprocating;Masse alternative
Mass rotating;Masse rotative
